countrycode,meadian,decile
CAF,1.0496011638402576,1
MDG,1.0911472276098573,1
SSD,1.1059916297494499,1
COD,1.2408883765833434,1
BDI,1.241484194550267,1
MWI,1.3379292393047988,1
GNB,1.4292777316434184,1
MOZ,1.510357459806088,1
ZMB,1.5574737502303326,1
RWA,1.7554662254594062,1
TGO,1.9087892618945976,1
BEN,1.9203555583808338,1
TZA,1.9222758611559987,1
MLI,1.9628312332801952,1
SLE,1.9721680909719637,1
NGA,2.005245802913026,1
NER,2.0451244957948207,2
BFA,2.0769419559929854,2
LBR,2.2171560303147784,2
UGA,2.271048496679084,2
TLS,2.312940659398514,2
KEN,2.38703890970834,2
GIN,2.4339571636693664,2
YEM,2.519361505974708,2
ETH,2.5260150620862536,2
AGO,2.5383602181563334,2
SEN,2.5519578286911506,2
STP,2.6142246826864026,2
TCD,2.6603780718508174,2
COG,2.66873916813505,2
CIV,2.794950843233685,2
SLB,2.798483458162156,2
ZWE,2.9096689706408627,3
PNG,3.0293911165153995,3
BGD,3.055409122672412,3
SWZ,3.0834782771929823,3
LAO,3.1011451967481785,3
LSO,3.1193760697519353,3
HTI,3.182073584979949,3
IND,3.19175131411967,3
UZB,3.231443828887045,3
SYR,3.325575921167271,3
SDN,3.534491667713599,3
VUT,3.5468610643691556,3
DJI,3.6714044094638756,3
PAK,3.6786097100155546,3
CMR,3.695713970174828,3
GMB,3.766950500639505,3
FSM,3.849771562729574,3
COM,4.050208980113249,4
NPL,4.054065283399359,4
IDN,4.146321565707211,4
KIR,4.207951329509239,4
MMR,4.212870749302542,4
BWA,4.250259034321383,4
PHL,4.3089571636693655,4
KGZ,4.329311277407508,4
ZAF,4.4163743755978,4
GHA,4.612649690345279,4
MRT,4.7080313592205885,4
EGY,4.821823373318945,4
IRQ,4.978390083915914,4
HND,5.024985436335877,4
TJK,5.185351216706669,4
NAM,5.403763358958903,4
BLZ,5.561669658724933,5
ARM,5.609369940053418,5
GTM,5.8155206042688254,5
GEO,5.935015813240344,5
LKA,6.030065716244158,5
FJI,6.122915555924495,5
TKM,6.254187345490209,5
CPV,6.5186456042688254,5
TUV,6.526793352000105,5
ALB,6.554237085360046,5
MEX,6.739745770921957,5
SUR,6.835427943995164,5
WSM,7.163744606598779,5
VNM,7.275947781486985,5
GAB,7.3237036522759444,5
MAR,7.447564434115558,5
SLV,7.494342938718044,5
JAM,7.5548530079696246,6
TON,7.622422681914842,6
XKX,7.720455834335224,6
NIC,7.754187345490209,6
DZA,7.7952810303147775,6
GUY,7.830064414402992,6
JOR,8.032163208379382,6
VEN,8.133389158367565,6
BTN,8.161846761312924,6
CHN,8.298012562236831,6
MNG,8.349731431293982,6
MDA,8.406869799280479,6
COL,8.940311011053122,6
PSE,8.998489921458903,6
ROU,9.145272749326283,6
TUN,9.191220409690374,6
ECU,9.427856431293982,7
MKD,9.428454512135817,7
PER,9.554468879623071,7
KAZ,9.641618447933292,7
BOL,9.697569538839039,7
DOM,9.906807360634359,7
UKR,10.019641227414041,7
MUS,10.094459797115569,7
LCA,10.40258083272341,7
MDV,10.832009551962354,7
SRB,11.03275700032098,7
PRY,11.134031588948059,7
MNE,11.279967162981826,7
THA,11.908208328250158,7
IRN,12.144225485130534,7
BRA,12.392908875338579,7
TUR,12.554237085360047,7
POL,14.265023958112673,8
BGR,14.354955972580917,8
CRI,14.508323723070006,8
PAN,14.994751573704297,8
CHL,15.285763140275463,8
SYC,16.05106234549021,8
HRV,16.733218863939676,8
RUS,16.841073947909578,8
BLR,17.10464866317976,8
ARG,17.342454493487743,8
BIH,17.65477044671925,8
AZE,17.669658672064543,8
GRC,18.403619298678894,8
LBN,18.529982647544625,8
HUN,18.82602134125798,8
LVA,19.026719726313296,8
LTU,19.77880097916061,9
TTO,19.839691957834788,9
MYS,20.248942627473898,9
SVK,20.861913629239215,9
URY,20.973210802836242,9
PRT,21.906869799280475,9
EST,23.758163145078857,9
CZE,25.066347545895084,9
ISR,28.701801136482587,9
SVN,30.72305727005005,9
ESP,30.978187095563133,9
ITA,34.67010583048068,9
CYP,34.91339339726598,9
KOR,35.3271484375,9
MLT,36.889225482940674,9
JPN,38.3271484375,9
IRL,39.05103419779468,9
GBR,39.27693679719252,10
FIN,43.00832372307,10
BEL,44.43440878453383,10
FRA,44.54628173642188,10
DNK,44.77876335895889,10
DEU,45.4052734375,10
NLD,45.427856431293975,10
SWE,47.054237085360036,10
AUS,47.174978236220035,10
ISL,47.26594573483866,10
AUT,48.83916628458385,10
CAN,50.81821586252442,10
USA,51.44002498515468,10
CHE,55.62195710107059,10
LUX,57.57908108119389,10
NOR,63.01916583613005,10
