iso3c,region_iso3c
ABW,LCN
AFG,SAS
AGO,SSF
ALB,ECS
AND,ECS
ARE,MEA
ARG,LCN
ARM,ECS
ASM,EAS
ATG,LCN
AUS,EAS
AUT,ECS
AZE,ECS
BDI,SSF
BEL,ECS
BEN,SSF
BFA,SSF
BGD,SAS
BGR,ECS
BHR,MEA
BHS,LCN
BIH,ECS
BLR,ECS
BLZ,LCN
BMU,NAC
BOL,LCN
BRA,LCN
BRB,LCN
BRN,EAS
BTN,SAS
BWA,SSF
CAF,SSF
CAN,NAC
CHE,ECS
CHI,ECS
CHL,LCN
CHN,EAS
CIV,SSF
CMR,SSF
COD,SSF
COG,SSF
COL,LCN
COM,SSF
CPV,SSF
CRI,LCN
CUB,LCN
CUW,LCN
CYM,LCN
CYP,ECS
CZE,ECS
DEU,ECS
DJI,MEA
DMA,LCN
DNK,ECS
DOM,LCN
DZA,MEA
ECU,LCN
EGY,MEA
ERI,SSF
ESP,ECS
EST,ECS
ETH,SSF
FIN,ECS
FJI,EAS
FRA,ECS
FRO,ECS
FSM,EAS
GAB,SSF
GBR,ECS
GEO,ECS
GHA,SSF
GIB,ECS
GIN,SSF
GMB,SSF
GNB,SSF
GNQ,SSF
GRC,ECS
GRD,LCN
GRL,ECS
GTM,LCN
GUM,EAS
GUY,LCN
HKG,EAS
HND,LCN
HRV,ECS
HTI,LCN
HUN,ECS
IDN,EAS
IMN,ECS
IND,SAS
IRL,ECS
IRN,MEA
IRQ,MEA
ISL,ECS
ISR,MEA
ITA,ECS
JAM,LCN
JOR,MEA
JPN,EAS
KAZ,ECS
KEN,SSF
KGZ,ECS
KHM,EAS
KIR,EAS
KNA,LCN
KOR,EAS
KWT,MEA
LAO,EAS
LBN,MEA
LBR,SSF
LBY,MEA
LCA,LCN
LIE,ECS
LKA,SAS
LSO,SSF
LTU,ECS
LUX,ECS
LVA,ECS
MAC,EAS
MAF,LCN
MAR,MEA
MCO,ECS
MDA,ECS
MDG,SSF
MDV,SAS
MEX,LCN
MHL,EAS
MKD,ECS
MLI,SSF
MLT,MEA
MMR,EAS
MNE,ECS
MNG,EAS
MNP,EAS
MOZ,SSF
MRT,SSF
MUS,SSF
MWI,SSF
MYS,EAS
NAM,SSF
NCL,EAS
NER,SSF
NGA,SSF
NIC,LCN
NLD,ECS
NOR,ECS
NPL,SAS
NRU,EAS
NZL,EAS
OMN,MEA
PAK,SAS
PAN,LCN
PER,LCN
PHL,EAS
PLW,EAS
PNG,EAS
POL,ECS
PRI,LCN
PRK,EAS
PRT,ECS
PRY,LCN
PSE,MEA
PYF,EAS
QAT,MEA
ROU,ECS
RUS,ECS
RWA,SSF
SAU,MEA
SDN,SSF
SEN,SSF
SGP,EAS
SLB,EAS
SLE,SSF
SLV,LCN
SMR,ECS
SOM,SSF
SRB,ECS
SSD,SSF
STP,SSF
SUR,LCN
SVK,ECS
SVN,ECS
SWE,ECS
SWZ,SSF
SXM,LCN
SYC,SSF
SYR,MEA
TCA,LCN
TCD,SSF
TGO,SSF
THA,EAS
TJK,ECS
TKM,ECS
TLS,EAS
TON,EAS
TTO,LCN
TUN,MEA
TUR,ECS
TUV,EAS
TZA,SSF
UGA,SSF
UKR,ECS
URY,LCN
USA,NAC
UZB,ECS
VCT,LCN
VEN,LCN
VGB,LCN
VIR,LCN
VNM,EAS
VUT,EAS
WSM,EAS
XKX,ECS
YEM,MEA
ZAF,SSF
ZMB,SSF
ZWE,SSF
